"Global_Index", "x_coord", "y_coord", "Pressure", "Pressure_Coefficient", "Skin_Friction_Coefficient_X", "Skin_Friction_Coefficient_Y"
45, 9.301387935570000e-02, 2.220446049250313e-16, 1.150691599100609e+05, 1.917511353418521e-01, 4.066935126085011e-03, 0.000000000000000e+00
46, 9.803561182770000e-02, 2.220446049250313e-16, 1.150685688563364e+05, 1.915667036763179e-01, 4.026489104141187e-03, 0.000000000000000e+00
47, 1.031272506240000e-01, 2.220446049250313e-16, 1.150680481922854e+05, 1.914042363165528e-01, 3.988824386811689e-03, 0.000000000000000e+00
48, 1.082913833170000e-01, 2.220446049250313e-16, 1.150675834703980e+05, 1.912592250796074e-01, 3.953581552213332e-03, 0.000000000000000e+00
49, 1.135307033110000e-01, 2.220446049250313e-16, 1.150671627031086e+05, 1.911279293804725e-01, 3.920377440221746e-03, 0.000000000000000e+00
50, 1.188480158220000e-01, 2.220446049250313e-16, 1.150667774433717e+05, 1.910077134136575e-01, 3.888993252431478e-03, 0.000000000000000e+00
51, 1.242462442510000e-01, 2.220446049250313e-16, 1.150664223472443e+05, 1.908969096618614e-01, 3.859214372693285e-03, 0.000000000000000e+00
52, 1.297284369870000e-01, 2.220446049250313e-16, 1.150660912940825e+05, 1.907936082469704e-01, 3.830877602685792e-03, 0.000000000000000e+00
53, 1.352977746630000e-01, 2.220446049250313e-16, 1.150657828165069e+05, 1.906973512898029e-01, 3.803861389651881e-03, 0.000000000000000e+00
54, 1.409575779210000e-01, 2.220446049250313e-16, 1.150654923307675e+05, 1.906067084827396e-01, 3.778000515053294e-03, 0.000000000000000e+00
55, 1.467113157020000e-01, 2.220446049250313e-16, 1.150652180003039e+05, 1.905211067477218e-01, 3.753164311228763e-03, 0.000000000000000e+00
56, 1.525626141330000e-01, 2.220446049250313e-16, 1.150649587108708e+05, 1.904401983970520e-01, 3.729283006358771e-03, 0.000000000000000e+00
57, 1.585152660350000e-01, 2.220446049250313e-16, 1.150647109115531e+05, 1.903628754076549e-01, 3.706298271578772e-03, 0.000000000000000e+00
58, 1.645732411200000e-01, 2.220446049250313e-16, 1.150644748893067e+05, 1.902892273208440e-01, 3.684166277144000e-03, 0.000000000000000e+00
59, 1.707406969350000e-01, 2.220446049250313e-16, 1.150642497213612e+05, 1.902189661965561e-01, 3.662809573935246e-03, 0.000000000000000e+00
60, 1.770219906140000e-01, 2.220446049250313e-16, 1.150640320844840e+05, 1.901510550573867e-01, 3.642125588164812e-03, 0.000000000000000e+00
61, 1.834216915030000e-01, 2.220446049250313e-16, 1.150638223524114e+05, 1.900856105235708e-01, 3.622036997511214e-03, 0.000000000000000e+00
62, 1.899445947530000e-01, 2.220446049250313e-16, 1.150636211000696e+05, 1.900228119943361e-01, 3.602510093747375e-03, 0.000000000000000e+00
63, 1.965957359540000e-01, 2.220446049250313e-16, 1.150634258244289e+05, 1.899618784274604e-01, 3.583519178082519e-03, 0.000000000000000e+00
64, 2.033804069020000e-01, 2.220446049250313e-16, 1.150632357018471e+05, 1.899025528146384e-01, 3.565040443194731e-03, 0.000000000000000e+00
65, 2.103041726230000e-01, 2.220446049250313e-16, 1.150630523947111e+05, 1.898453538850102e-01, 3.547051198907213e-03, 0.000000000000000e+00
66, 2.173728897500000e-01, 2.220446049250313e-16, 1.150628743680304e+05, 1.897898026620675e-01, 3.529505178226628e-03, 0.000000000000000e+00
67, 2.245927263960000e-01, 2.220446049250313e-16, 1.150626992794342e+05, 1.897351682353337e-01, 3.512364440129288e-03, 0.000000000000000e+00
68, 2.319701836540000e-01, 2.220446049250313e-16, 1.150625285914230e+05, 1.896819069616321e-01, 3.495609872300535e-03, 0.000000000000000e+00
69, 2.395121189030000e-01, 2.220446049250313e-16, 1.150623630196325e+05, 1.896302421470284e-01, 3.479217672823943e-03, 0.000000000000000e+00
